Machine Learning,Deep Learning,NLP,TimeSeries,Python,R,BI Tools,Data Engineering,BigData
support vector machine,neural nets,natural language processing,naïve approach,numpy,ggplot2,tableau,aws,hadoop
linear regression,keras,nlp,time series,pandas,googlevis,power bi,ec2,hdfs
multivariate regression,tensorflow,topic modeling,time series forecasting,matplotlib,plyr,thought spot,amazon redshift,pig
logistic regression,tflearn, latent dirichlet allocation,simple average,scipy,data.table,sas,s3,hive
predictive analysis,convolutional neural,lda,moving average,sklearn,missforest,data visualization,docker,spark
principle component analysis,recurrent neural,word2vec,simple exponential smoothing,scikit learn,outliers,,kubernetes,pyspark
k-means,artificial neural,doc2vec,holts linear trend,python,features,,mongo db,kafka
linear model,yolo,spacy,holt winter method,django,rrf,,teradata,strom
descriptive model,gpu,gensim,arima,seaborn,factominer,,,flask
decision tree,cuda,textblob,auto arima,scrapy,ccp,,google big query,scala
naïve bayes,opencv,nltk,auto regressive integrated moving averages,tkinter,lsmeans,,aws lambda,map reduce
random forest,gan,cbow,multivariate time series,python,comparsion,,aws emr,big data
bayesian inference,feed forward,information retrieval,univariate time series,,regtest,,hive,bigdata
hypothesis testing,back propagation,named entity recognition,vector auto regression,,binomtools,,,big data analytics
gradient descent,owl,page rank,,seaborne,daim,,sql,
gradient boosting,deep learning,text rank,,scikit-learn,clusteval,,,
reinforcement learning,cnn,ontology,,python3,sigclust,,postgres,
k-nearest neighbour,ann,latent semantic indexing,,scikitlearn,proc,,,
Apriori,rnn,tf-idf,,,timeroc,,,
Association rule mining,lstm,lsi,,,jasonlite,,,
bayesian belief network,long short term memory,lsa,,,httr,,my sql,
bayesian classification,generative adversarial ,svd,,,sqldf,,mysql,
rule based classification,pytorch,lexicon normalization,,,car,,database management system,
case based reasoning,caffe,syntactical parsing,,,randomforest,,block chain,
rough set approach,caffe2,dependency grammer,,,rminer,,etherum,
fuzzy set approach,deep learning,part of speech tagging,,,corelearn,,,
genetic algorithm,deeplearning,keyword extraction,,,caret,,,
non-linear regression,neural network,keyphrase extraction,,,bigrf,,sql server,
bagging,neural networks,word embeddings,,,cba,,,
boosting,artificial intelligence,text classification,,,rankcluster,,,
k-medoids,,multiclass text classsification,,,forecast,,,
expectation maximization,,linguistics,,,ltsa,,,
supervised,,text summarization,,,survival,,,
unsupervised,,sentiment analysis,,,basta,,,
semi supervised,,semantic text similarity,,,rcpp,,,
conceptual clustering,,singular vector decomposition,,,parallel,,,
xgboost,,document clustering,,,missforest,,,
outlier detection,,glove,,,twitterr,,,
svm,,fastext,,,shiny,,,
cart,,vector space construction,,,rmongo,,,
pca,,text vectorization,,,rmarkdown,,,
knn,,semantic parsing,,,swirl,,,
birch,,rasa nlu,,,reshape2,,,
dbscan,,chatbot,,,qcc,,,
optics,,,,,xml,,,
denclue,,,,,rodbc,,,
sting,,,,,r,,,
clique,,,,,r programming,,,
proclus,,,,,,,,
machine learning,,,,,,,,
linear discriminant analysis,,,,,,,,
factor analysis,,,,,,,,
correspondence analysis,,,,,,,,
anova,,,,,,,,
greedy optimization,,,,,,,,
lasso,,,,,,,,
ridge,,,,,,,,
lasso regression,,,,,,,,
ridge regression,,,,,,,,
exploratory data analysis,,,,,,,,
data science,,,,,,,,
datascience,,,,,,,,
ensemble,,,,,,,,
prediction model,,,,,,,,
loss function,,,,,,,,
cost function,,,,,,,,
activation function,,,,,,,,
data analytics,,,,,,,,
statistics,,,,,,,,
image processing,,,,,,,,
recommedation engine,,,,,,,,
sentiment analysis,,,,,,,,
recommendation system,,,,,,,,
predictive model,,,,,,,,
cluster analysis,,,,,,,,
univariate analysis,,,,,,,,
data scientist,,,,,,,,
face recognition,,,,,,,,
face detection,,,,,,,,
text summarizer,,,,,,,,
text sumarization,,,,,,,,
digit recognition,,,,,,,,
text classifier,,,,,,,,
character recognition,,,,,,,,
stock market prediction,,,,,,,,
colloborative filtering,,,,,,,,
chatbot,,,,,,,,
statistical methods,,,,,,,,
computer vision,,,,,,,,
mnist,,,,,,,,
